,Classifieur,Echantillon,Selection Variable,Performance,Sampling,Temps_execution
0,KNeighborsClassifier,100000,NoProcessing,0.0174,0.3,35.30972409248352
1,GradientBoostingClassifier,100000,NoProcessing,0.0015,0.3,18.449311017990112
2,RandomForest,100000,NoProcessing,0.0114,0.3,33.10974097251892
3,KNeighborsClassifier,100000,SelectFromModel,0.0177,0.3,5.545487880706787
4,GradientBoostingClassifier,100000,SelectFromModel,0.0197,0.3,13.840611219406128
5,RandomForest,100000,SelectFromModel,0.0223,0.3,27.10410499572754
6,KNeighborsClassifier,100000,Variance,0.0076,0.3,8.971277952194214
7,GradientBoostingClassifier,100000,Variance,0.002,0.3,16.149255990982056
8,RandomForest,100000,Variance,0.0041,0.3,33.149632930755615
9,KNeighborsClassifier,380000,NoProcessing,0.0153,0.3,121.24109387397766
10,GradientBoostingClassifier,380000,NoProcessing,0.0141,0.3,71.71028709411621
11,RandomForest,380000,NoProcessing,0.0105,0.3,152.51028418540955
12,KNeighborsClassifier,380000,SelectFromModel,0.0135,0.3,5.83539891242981
13,GradientBoostingClassifier,380000,SelectFromModel,0.0044,0.3,53.49286603927612
14,RandomForest,380000,SelectFromModel,0.0085,0.3,114.46230673789978
15,KNeighborsClassifier,380000,Variance,0.0152,0.3,10.023301839828491
16,GradientBoostingClassifier,380000,Variance,0.0,0.3,61.94709300994873
17,RandomForest,380000,Variance,0.01,0.3,145.5715229511261
18,KNeighborsClassifier,999999,NoProcessing,0.0161,0.3,307.92492294311523
19,GradientBoostingClassifier,999999,NoProcessing,0.0003,0.3,206.29755282402039
20,RandomForest,999999,NoProcessing,0.0109,0.3,505.52424001693726
21,KNeighborsClassifier,999999,SelectFromModel,0.0142,0.3,6.385599136352539
22,GradientBoostingClassifier,999999,SelectFromModel,0.0153,0.3,153.03542590141296
23,RandomForest,999999,SelectFromModel,0.0182,0.3,355.06562995910645
24,KNeighborsClassifier,999999,Variance,0.0185,0.3,12.15750002861023
25,GradientBoostingClassifier,999999,Variance,0.0207,0.3,173.45040607452393
26,RandomForest,999999,Variance,0.0133,0.3,437.4817497730255
27,KNeighborsClassifier,3899362,NoProcessing,0.0171,0.3,1183.2240009307861
28,GradientBoostingClassifier,3899362,NoProcessing,0.02,0.3,953.1072788238525
29,RandomForest,3899362,NoProcessing,0.0125,0.3,2628.3955380916595
30,KNeighborsClassifier,3899362,SelectFromModel,0.0185,0.3,9.02941608428955
31,GradientBoostingClassifier,3899362,SelectFromModel,0.0146,0.3,688.5711963176727
32,RandomForest,3899362,SelectFromModel,0.0145,0.3,2045.8839228153229
33,KNeighborsClassifier,3899362,Variance,0.0146,0.3,18.301783084869385
34,GradientBoostingClassifier,3899362,Variance,0.0201,0.3,770.7002487182617
35,RandomForest,3899362,Variance,0.0248,0.3,2336.784145116806
36,KNeighborsClassifier,100000,NoProcessing,0.0131,0.5,35.286818981170654
37,GradientBoostingClassifier,100000,NoProcessing,0.0064,0.5,20.17245125770569
38,RandomForest,100000,NoProcessing,0.0148,0.5,36.97830772399902
39,KNeighborsClassifier,100000,SelectFromModel,0.0175,0.5,5.546825885772705
40,GradientBoostingClassifier,100000,SelectFromModel,0.0174,0.5,14.940834999084473
41,RandomForest,100000,SelectFromModel,0.0161,0.5,29.669309854507446
42,KNeighborsClassifier,100000,Variance,0.0174,0.5,7.40995979309082
43,GradientBoostingClassifier,100000,Variance,0.0147,0.5,18.05166482925415
44,RandomForest,100000,Variance,0.0122,0.5,34.92579412460327
45,KNeighborsClassifier,380000,NoProcessing,0.0167,0.5,120.01773881912231
46,GradientBoostingClassifier,380000,NoProcessing,0.0424,0.5,79.49836492538452
47,RandomForest,380000,NoProcessing,0.0155,0.5,161.92325091362
48,KNeighborsClassifier,380000,SelectFromModel,0.0079,0.5,5.756779909133911
49,GradientBoostingClassifier,380000,SelectFromModel,0.0174,0.5,58.09835195541382
50,RandomForest,380000,SelectFromModel,0.0212,0.5,117.71678733825684
51,KNeighborsClassifier,380000,Variance,0.013,0.5,9.506561040878296
52,GradientBoostingClassifier,380000,Variance,0.0018,0.5,69.11396670341492
53,RandomForest,380000,Variance,0.0164,0.5,142.51387786865234
54,KNeighborsClassifier,999999,NoProcessing,0.0198,0.5,309.6392192840576
55,GradientBoostingClassifier,999999,NoProcessing,0.005,0.5,228.2101287841797
56,RandomForest,999999,NoProcessing,0.0182,0.5,528.8774309158325
57,KNeighborsClassifier,999999,SelectFromModel,0.017,0.5,6.207350969314575
58,GradientBoostingClassifier,999999,SelectFromModel,0.0208,0.5,165.95768880844116
59,RandomForest,999999,SelectFromModel,0.0156,0.5,415.26672101020813
60,KNeighborsClassifier,999999,Variance,0.0167,0.5,11.473298072814941
61,GradientBoostingClassifier,999999,Variance,0.016,0.5,201.96881413459778
62,RandomForest,999999,Variance,0.0157,0.5,452.3907587528229
63,KNeighborsClassifier,3899362,NoProcessing,0.0186,0.5,1190.8516330718994
64,GradientBoostingClassifier,3899362,NoProcessing,0.0,0.5,1069.4233419895172
